campaign_id,campaign_name,channel,campaign_type,target_audience,region,start_date,end_date,budget,spend,impressions,clicks,conversions,revenue,ctr,cpc,cpa,conversion_rate,roas
CAMP_001,Email Newsletter - Gen Z,Email,Brand Awareness,18-24,North America,2024-01-15,2024-02-15,5000,4850,45000,900,36,2880,2.00,5.39,134.72,4.00,0.59
CAMP_002,Google Search - Millennials,Google Ads,Lead Generation,25-34,Europe,2024-01-20,2024-03-20,15000,14750,120000,1800,90,13500,1.50,8.19,163.89,5.00,0.92
CAMP_003,Facebook Retargeting - Gen X,Facebook Ads,Retargeting,35-44,North America,2024-01-25,2024-02-25,8000,7920,85000,1275,102,15300,1.50,6.21,77.65,8.00,1.93
CAMP_004,Instagram Stories - Gen Z,Instagram Ads,Engagement,18-24,Asia Pacific,2024-02-01,2024-03-01,6000,5940,75000,750,30,3600,1.00,7.92,198.00,4.00,0.61
CAMP_005,LinkedIn B2B - Professionals,LinkedIn Ads,Lead Generation,35-44,North America,2024-02-05,2024-04-05,20000,19800,60000,1200,84,16800,2.00,16.50,235.71,7.00,0.85
CAMP_006,YouTube Pre-Roll - Millennials,YouTube Ads,Brand Awareness,25-34,Europe,2024-02-10,2024-03-10,12000,11880,200000,2000,80,9600,1.00,5.94,148.50,4.00,0.81
CAMP_007,Display Banner - Gen X,Display Ads,Conversion,35-44,Asia Pacific,2024-02-15,2024-04-15,10000,9900,150000,1050,63,11340,0.70,9.43,157.14,6.00,1.15
CAMP_008,TikTok Dance Challenge - Gen Z,TikTok Ads,Engagement,18-24,North America,2024-02-20,2024-03-20,7000,6930,100000,2000,60,7200,2.00,3.47,115.50,3.00,1.04
CAMP_009,SEO Content - All Ages,SEO,Lead Generation,25-54,Global,2024-03-01,2024-06-01,3000,2970,25000,500,45,8100,2.00,5.94,66.00,9.00,2.73
CAMP_010,Content Marketing - Professionals,Content Marketing,Brand Awareness,35-54,North America,2024-03-05,2024-05-05,4000,3960,30000,600,42,7560,2.00,6.60,94.29,7.00,1.91
CAMP_011,Google Display - Seniors,Display Ads,Conversion,55-64,Europe,2024-03-10,2024-04-10,8500,8415,110000,770,54,9720,0.70,10.93,155.83,7.00,1.16
CAMP_012,Facebook Video - Millennials,Facebook Ads,Brand Awareness,25-34,Latin America,2024-03-15,2024-04-15,9000,8910,95000,1425,71,10650,1.50,6.25,125.49,5.00,1.20
CAMP_013,Email Segmented - Gen X,Email,Lead Generation,35-44,North America,2024-03-20,2024-04-20,4500,4455,40000,1200,96,14400,3.00,3.71,46.41,8.00,3.23
CAMP_014,Instagram Influencer - Gen Z,Instagram Ads,Engagement,18-24,Asia Pacific,2024-03-25,2024-04-25,11000,10890,80000,1600,64,7680,2.00,6.81,170.16,4.00,0.71
CAMP_015,LinkedIn Sponsored - Executives,LinkedIn Ads,Lead Generation,45-54,North America,2024-04-01,2024-06-01,25000,24750,50000,1000,70,21000,2.00,24.75,353.57,7.00,0.85
CAMP_016,YouTube Shorts - Gen Z,YouTube Ads,Engagement,18-24,Europe,2024-04-05,2024-05-05,8000,7920,180000,1800,54,6480,1.00,4.40,146.67,3.00,0.82
CAMP_017,Google Shopping - All Ages,Google Ads,Conversion,25-54,Global,2024-04-10,2024-05-10,18000,17820,140000,2100,147,22050,1.50,8.49,121.22,7.00,1.24
CAMP_018,Facebook Carousel - Millennials,Facebook Ads,Conversion,25-34,North America,2024-04-15,2024-06-15,10000,9900,90000,1350,108,16200,1.50,7.33,91.67,8.00,1.64
CAMP_019,Display Programmatic - Gen X,Display Ads,Retargeting,35-44,Europe,2024-04-20,2024-05-20,12000,11880,160000,1120,78,14040,0.70,10.61,152.31,7.00,1.18
CAMP_020,TikTok Hashtag - Gen Z,TikTok Ads,Brand Awareness,18-24,Asia Pacific,2024-04-25,2024-05-25,6500,6435,120000,2400,72,8640,2.00,2.68,89.38,3.00,1.34
CAMP_021,Email Automation - Millennials,Email,Retargeting,25-34,North America,2024-05-01,2024-06-01,3500,3465,35000,1050,84,12600,3.00,3.30,41.25,8.00,3.64
CAMP_022,Instagram Reels - Gen Z,Instagram Ads,Engagement,18-24,Latin America,2024-05-05,2024-06-05,7500,7425,85000,1700,68,8160,2.00,4.37,109.19,4.00,1.10
CAMP_023,LinkedIn Article - Professionals,LinkedIn Ads,Brand Awareness,35-54,Europe,2024-05-10,2024-07-10,15000,14850,45000,900,54,16200,2.00,16.50,275.00,6.00,1.09
CAMP_024,YouTube Long-form - Gen X,YouTube Ads,Lead Generation,35-44,North America,2024-05-15,2024-07-15,14000,13860,170000,1700,85,12750,1.00,8.15,163.06,5.00,0.92
CAMP_025,Google Local - Small Business,Google Ads,Conversion,25-54,North America,2024-05-20,2024-06-20,5000,4950,60000,1200,84,16800,2.00,4.13,58.93,7.00,3.39
CAMP_026,Facebook Groups - Seniors,Facebook Ads,Engagement,55-64,North America,2024-05-25,2024-06-25,6000,5940,50000,1000,60,9000,2.00,5.94,99.00,6.00,1.52
CAMP_027,Display Mobile - Millennials,Display Ads,Conversion,25-34,Asia Pacific,2024-06-01,2024-07-01,9000,8910,130000,910,64,11520,0.70,9.79,139.22,7.00,1.29
CAMP_028,TikTok Live - Gen Z,TikTok Ads,Engagement,18-24,Europe,2024-06-05,2024-07-05,8500,8415,110000,2200,66,7920,2.00,3.83,127.50,3.00,0.94
CAMP_029,SEO Local - Small Business,SEO,Lead Generation,35-54,North America,2024-06-10,2024-09-10,2500,2475,20000,400,36,6480,2.00,6.19,68.75,9.00,2.62
CAMP_030,Content Video - Gen X,Content Marketing,Brand Awareness,35-44,Europe,2024-06-15,2024-08-15,5500,5445,40000,800,56,10080,2.00,6.81,97.23,7.00,1.85
